Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-30 00:10:58.179115,113,0.44,-15.51,1.72,-29.404080490120784,-147.71538102884188
2020-04-30 00:11:09.093659,114,0.78,-15.82,1.19,-29.90094943148253,-147.1782959336471
2020-04-30 00:11:20.036696,115,1.12,-15.63,0.48,-30.395209240581334,-146.63537785690113
2020-04-30 00:11:30.983917,116,1.37,-15.65,0.57,-30.88678478533632,-146.08649019482056
2020-04-30 00:12:41.936861,117,1.99,-15.26,-0.05,-33.9894699328009,-142.39008743865804
2020-04-30 00:12:52.877169,118,2.42,-15.31,-0.78,-34.415875227590206,-141.84669124867017
2020-04-30 00:13:03.791986,119,2.85,-15.33,-1.31,-34.88164973275547,-141.24205558258396
2020-04-30 00:13:14.737809,120,3.01,-15.17,-1.69,-35.34390669049818,-140.6300296518158
2020-04-30 00:13:25.699499,121,3.42,-15.09,-2.39,-35.80253681779161,-140.01046319220393
2020-04-30 00:14:36.663480,122,4.13,-14.93,-2.92,-38.66839198597517,-135.81967768353755
2020-04-30 00:14:47.576495,123,4.74,-14.88,-2.98,-39.09657996013785,-135.1390903138808
2020-04-30 00:14:58.490968,124,4.95,-14.73,-3.45,-39.52019170755663,-134.44966467943806
2020-04-30 00:15:09.403939,125,5.37,-14.68,-3.97,-39.93909403954268,-133.75127783680426
2020-04-30 00:15:20.318940,126,5.76,-14.25,-4.18,-40.353167427785536,-133.0437658614393
2020-04-30 00:16:31.299910,127,6.62,-13.79,-4.49,-42.90039085609341,-128.2490550263604
2020-04-30 00:16:42.247830,128,7.03,-13.84,-4.7,-43.27412514709817,-127.46962115903523
2020-04-30 00:16:53.193408,129,7.63,-13.91,-4.34,-43.64183521125497,-126.6800649513601
2020-04-30 00:17:04.112043,130,8.12,-13.57,-4.23,-44.00337078440209,-125.8803181014433
2020-04-30 00:17:15.052948,131,8.4,-13.41,-4.67,-44.358578187283186,-125.07029864701481
2020-04-30 00:18:26.017386,132,8.99,-13.11,-4.33,-46.48827898181735,-119.59139410239737
2020-04-30 00:18:36.947475,133,9.48,-12.94,-4.33,-46.79127983377746,-118.70352415180908
2020-04-30 00:18:47.861577,134,10.04,-12.68,-4.27,-47.0600614379958,-117.88730288561422
2020-04-30 00:18:58.783185,135,10.67,-12.52,-4.1,-47.34823053417322,-116.97955708454118
2020-04-30 00:19:09.722960,136,10.82,-12.39,-4.26,-47.62838440335963,-116.0614840374431
2020-04-30 00:20:20.742565,137,12.2,-12.1,-3.62,-49.23282316015231,-109.89522340570143
2020-04-30 00:20:31.678110,138,12.63,-11.76,-3.52,-49.44812779826404,-108.90432005148348
2020-04-30 00:20:42.599664,139,12.9,-11.7,-3.46,-49.65407166211826,-107.904475979642
2020-04-30 00:20:53.548386,140,13.18,-11.57,-3.04,-49.850504487553245,-106.89595073736542
2020-04-30 00:21:04.493528,141,13.49,-11.57,-2.91,-50.03728284059641,-105.87904485297724
2020-04-30 00:22:15.512211,141,14.0,-11.07,-2.22,-51.001616758943,-99.13664410436667
2020-04-30 00:22:26.423945,141,14.39,-10.77,-1.79,-51.112405842375196,-98.06847082006838
2020-04-30 00:22:37.387202,141,14.55,-10.58,-1.47,-51.21254324579675,-96.99520221464925
2020-04-30 00:22:48.317555,141,14.72,-10.29,-1.15,-51.30195042203222,-95.91732323154037
2020-04-30 00:22:59.264572,141,15.13,-10.29,-0.74,-51.38054540881156,-94.83532564436197
2020-04-30 00:24:10.213770,141,15.7,-10.05,-0.25,-51.62407580366836,-87.78804574176954
2020-04-30 00:24:21.168373,141,15.76,-10.21,0.07,-51.62059582228624,-86.6920940781168
2020-04-30 00:24:32.107128,141,15.83,-9.93,0.55,-51.6060270287866,-85.59660003713846
2020-04-30 00:24:43.051776,141,16.1,-9.76,1.04,-51.58038649864237,-84.50212369434644
2020-04-30 00:24:53.998245,141,16.24,-9.74,1.38,-51.54369813751565,-83.40921146487436
2020-04-30 00:26:05.017865,141,16.04,-9.38,2.41,-51.04410736576965,-76.42891522747225
2020-04-30 00:26:15.964734,141,16.07,-9.27,2.99,-50.92669299884255,-75.36426632078567
2020-04-30 00:26:26.913522,141,16.36,-9.14,3.61,-50.81084616032996,-74.40145553462399
2020-04-30 00:26:37.852595,141,16.4,-9.01,3.79,-50.673491056121,-73.3483359872564
2020-04-30 00:26:48.781295,141,16.4,-8.67,4.22,-50.52585310211659,-72.30187587432958
2020-04-30 00:27:59.726311,141,15.99,-8.58,5.11,-49.3339782617602,-65.73238136455788
2020-04-30 00:28:10.670264,141,15.81,-8.33,5.51,-49.11375247235148,-64.74652552013659
2020-04-30 00:28:21.614103,141,15.7,-7.99,5.7,-48.8844049653062,-63.769986053743175
2020-04-30 00:28:32.560033,141,15.59,-8.05,6.35,-48.6460894198807,-62.8029610408636
2020-04-30 00:28:43.509470,141,15.69,-7.82,6.54,-48.39896293042589,-61.84564172679462
2020-04-30 00:29:54.454233,141,15.37,-7.56,6.72,-46.60296127307645,-55.909394545542305
2020-04-30 00:30:05.402503,141,15.26,-7.4,7.06,-46.295309062291565,-55.02826257657022
2020-04-30 00:30:16.701342,141,15.21,-7.2,7.45,-45.98023926606805,-54.1576183630687
2020-04-30 00:30:27.633042,141,15.24,-6.96,7.72,-45.65791239385139,-53.29746190503773
2020-04-30 00:30:38.583510,141,15.17,-6.78,7.77,-45.32849237018168,-52.447793202477314
2020-04-30 00:31:49.567893,141,15.19,-6.47,7.95,-43.04246562101884,-47.21332063768713
2020-04-30 00:32:00.503194,141,15.06,-6.3,7.82,-42.66517963164568,-46.440368619884296
2020-04-30 00:32:11.455083,141,14.94,-6.1,7.73,-42.28211871732927,-45.67736818770217
2020-04-30 00:32:22.397200,141,14.88,-5.93,8.24,-41.89342631204218,-44.92421688830321
2020-04-30 00:32:33.350314,141,14.72,-6.17,8.32,-41.49925267994616,-44.180798608471505
2020-04-30 00:33:44.292269,141,14.32,-6.16,8.46,-38.832377997758,-39.60797329876963
2020-04-30 00:33:55.235758,141,14.24,-6.13,8.53,-38.40157747623779,-38.93302083517814
2020-04-30 00:34:06.185028,141,14.08,-6.01,8.56,-37.96640221855418,-38.26665050427877
2020-04-30 00:34:17.131369,141,13.92,-5.86,8.31,-37.52696492282848,-37.60871545700437
2020-04-30 00:34:28.082539,141,13.9,-5.9,8.38,-37.08338853246576,-36.959062014098606
2020-04-30 00:35:39.028075,141,13.9,-5.75,8.87,-34.12811594276299,-32.954627971652265
2020-04-30 00:35:49.968302,141,13.76,-5.66,8.79,-33.65706511646389,-32.3618495139652
2020-04-30 00:36:00.920652,141,13.95,-5.63,8.15,-33.226001632660626,-31.829012796434164
2020-04-30 00:36:11.983224,141,13.93,-5.64,8.89,-32.74880363610852,-31.24942001893981
2020-04-30 00:36:22.958102,141,13.73,-5.28,8.56,-32.22470273052593,-30.62475140801795
2020-04-30 00:37:33.890556,141,13.72,-5.32,8.32,-29.099993638082644,-27.129332090824935
2020-04-30 00:37:44.837094,141,13.9,-5.27,7.99,-28.599330526636955,-26.601582156678266
2020-04-30 00:37:55.792012,141,14.0,-5.26,8.03,-28.096264896150714,-26.079281005941976
2020-04-30 00:38:06.738025,141,13.96,-5.33,7.78,-27.590863340968326,-25.562292034832662
2020-04-30 00:38:17.677810,141,13.98,-5.29,7.74,-27.083200993170667,-25.050476932019635
2020-04-30 00:39:28.691753,141,14.2,-5.41,7.68,-23.75649930130801,-21.862393929362387
2020-04-30 00:39:39.645008,141,14.32,-5.48,7.76,-23.23401373546413,-21.384997857324347
2020-04-30 00:39:50.584953,141,14.75,-5.6,7.75,-22.709793301571068,-20.911686238409974
2020-04-30 00:40:01.531819,141,14.65,-5.59,8.79,-22.183896056236765,-20.4423378367615
